DOMAIN	TOTAL	Acas	Afum	Agos	Aloc	Amac	Amoe	Bden	Ccin	Cint	Cmer	CneoA	Cowc	Crei	Crev	Ddis	Dmel	Ebie	Ecun	Eint	Gpro	Hmag	Hpol	Mbre	Mcir	Mver	Ncer	Ncra	NparERTm1	Pbla	PirE2	Pult	Rall	Rory	Scer	Spom	Spun	Sros	Sros50818	Sscl	Tgon	Tpse	Ttra	Umay	Vcul	Wseb	Ylip
Abhydrolase_6	1468	64	77	15	2	5	48	25	64	45	31	22	9	74	11	37	72	2	4	4	80	33	20	33	8	73	4	59	3	47	3	99	16	28	25	14	9	7	8	67	27	66	8	53	4	30	33
efhand	1460	77	19	14	2	6	38	29	24	101	10	19	10	84	1	56	96	2	1	1	27	144	25	57	7	46	2	29	1	44	2	130	30	54	12	15	14	5	20	22	54	60	22	16	1	15	16
Abhydrolase_5	1430	65	74	16	2	8	48	31	54	41	28	25	9	75	7	43	59	3	2	3	91	28	19	32	7	68	4	56	3	43	7	96	11	35	21	17	9	7	6	56	27	65	11	50	5	33	30
Ank_3	1425	108	42	9	0	0	20	18	31	75	5	8	16	82	1	52	71	0	1	1	38	213	17	168	3	29	1	13	0	18	104	97	13	46	5	9	9	4	10	15	11	23	20	7	0	4	8
F-box-like	1342	225	30	9	0	3	6	24	263	25	4	11	2	21	4	41	21	0	0	0	86	21	3	13	13	136	0	20	0	184	3	7	6	38	9	10	11	9	5	18	3	4	6	14	0	9	25
AAA_5	1342	30	29	26	13	16	52	48	27	49	26	24	14	66	9	33	40	17	19	18	58	40	30	47	2	40	17	28	18	38	14	50	42	50	28	25	17	7	20	27	43	45	6	28	17	23	26
KR	1323	42	111	16	0	3	33	11	44	67	22	35	7	46	2	93	56	3	0	0	99	40	10	37	8	50	0	66	1	32	0	52	11	29	15	24	4	10	6	78	15	33	4	37	0	36	35
TPR_1	1320	54	25	21	1	6	41	31	27	60	19	25	4	55	1	53	58	0	5	4	26	221	23	83	3	38	2	25	4	29	12	61	26	44	25	23	13	9	21	19	21	34	10	24	0	13	21
Methyltransf_31	1291	52	43	14	8	3	42	22	39	56	36	15	7	61	7	54	32	4	6	7	45	36	23	37	11	48	7	52	10	65	0	50	17	72	16	25	11	6	6	51	19	73	8	29	7	34	25
Methyltransf_18	1286	59	42	15	5	5	34	24	44	57	34	21	5	66	7	55	36	1	5	5	44	30	27	41	10	51	4	59	6	64	0	52	16	59	15	27	10	6	6	50	23	64	8	35	6	30	23
GTP_EFTU	1265	60	24	30	7	5	56	30	27	36	27	24	11	37	13	59	39	25	13	13	30	48	27	37	7	49	12	30	12	62	1	35	31	58	32	30	4	8	4	25	37	37	15	26	13	29	30
zf-C3HC4_3	1263	44	26	16	7	9	16	24	23	69	26	22	16	80	11	61	60	5	11	10	79	110	10	42	5	47	14	25	10	34	7	62	22	27	17	22	11	4	6	21	29	30	18	23	14	14	24
SH3_1	1250	69	27	23	0	16	67	44	35	74	0	22	24	2	5	30	65	0	0	0	110	95	29	69	12	57	0	24	0	42	8	4	35	61	25	25	14	5	18	21	0	0	16	30	0	24	23
TPR_10	1173	47	9	0	0	0	0	0	8	4	0	0	2	44	0	1	6	0	0	0	64	847	0	75	0	0	0	1	0	1	0	8	0	1	0	0	0	0	14	17	1	15	8	0	0	0	0
Methyltransf_23	1148	47	53	12	6	3	41	22	39	37	28	17	5	52	9	77	25	2	3	3	41	28	19	33	9	42	4	61	5	54	0	37	10	63	16	24	9	3	5	54	13	54	8	29	3	23	20
zf-C3HC4	1135	38	26	15	9	6	19	22	31	44	21	21	11	57	11	45	51	5	12	10	85	89	9	39	5	43	12	25	9	36	7	56	18	25	15	26	10	2	8	24	29	30	11	23	13	13	19
adh_short_C2	1128	38	86	13	0	3	22	10	35	66	14	33	7	35	3	51	45	3	1	0	101	28	8	29	10	40	1	50	2	32	1	57	12	32	13	21	3	10	5	65	11	34	3	35	1	35	24
p450	1109	32	80	3	0	2	4	10	154	73	5	5	1	67	3	45	87	0	0	0	66	40	10	10	6	35	0	46	0	57	0	43	7	54	3	2	3	4	0	95	1	12	0	21	0	5	18
ABC_membrane	1093	9	45	11	1	9	32	45	37	28	12	24	8	28	9	39	40	2	5	6	45	17	27	23	10	113	5	30	0	43	9	120	16	25	17	15	7	4	3	37	14	29	6	36	2	20	30
DnaJ	1093	35	29	21	6	11	38	30	31	34	25	22	9	65	5	29	41	7	10	10	33	39	17	36	8	31	6	28	11	35	3	44	22	38	21	24	9	7	5	30	36	57	7	27	9	26	26
RCC1	1090	132	9	9	2	0	12	16	10	41	16	6	17	53	4	95	53	4	6	5	11	82	13	24	0	35	6	13	4	22	0	145	15	29	9	9	11	8	7	14	39	74	2	7	2	8	11
PH	1085	149	14	12	0	5	58	16	15	66	3	11	25	6	7	75	46	0	1	1	11	59	10	73	4	32	0	11	0	38	5	111	20	50	19	16	2	3	18	13	6	6	19	17	1	17	14
Methyltransf_11	1082	45	40	13	6	2	33	19	36	42	28	13	5	54	6	64	21	1	5	5	39	24	18	27	12	42	5	54	5	53	0	35	10	72	13	24	8	4	6	48	15	54	7	25	4	21	19
EGF_CA	1077	0	1	0	0	0	0	0	0	502	0	0	23	4	0	55	62	0	0	0	0	304	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	43	1	0	0	0	0	0
Sel1	1045	87	10	5	2	13	39	32	12	6	2	12	0	7	0	5	5	0	7	10	256	14	4	7	31	143	3	12	1	91	3	21	24	106	6	7	14	4	0	6	4	2	0	10	9	6	7
SH3_2	1005	71	20	18	0	8	59	34	26	67	0	19	19	0	5	30	66	0	0	0	29	93	28	57	9	46	0	19	0	35	3	6	31	50	18	18	11	3	17	19	1	2	10	23	0	17	18
HEAT_2	918	31	26	20	2	7	38	32	23	32	31	20	3	29	8	25	26	17	2	4	35	25	28	35	7	29	2	25	4	39	2	35	23	45	17	25	19	5	7	28	13	21	1	22	4	22	24
Zn_clus	913	6	188	40	0	2	8	9	29	0	0	58	3	0	7	2	0	0	0	0	62	0	0	0	6	32	0	88	0	36	1	0	1	22	51	29	2	7	0	75	0	2	0	74	0	26	47
AMP-binding	910	36	71	10	2	5	21	23	35	26	8	9	11	22	9	41	29	2	3	2	58	30	18	15	5	53	3	33	3	38	1	31	11	42	13	14	5	3	0	55	15	17	4	40	5	13	20
Epimerase	901	35	60	7	0	6	29	10	34	24	33	26	5	40	7	49	37	4	2	0	56	23	9	30	8	42	0	29	0	27	2	28	9	22	11	15	6	6	4	40	6	43	9	19	1	22	26
Methyltransf_12	897	38	38	9	4	3	29	16	29	25	22	8	4	40	7	69	15	2	4	4	34	19	15	26	8	33	4	44	4	46	0	30	10	45	11	18	8	3	5	43	10	47	8	24	4	18	14
FNIP	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrolase	896	26	33	17	2	6	39	25	23	18	17	21	4	43	11	29	23	6	4	4	39	39	19	20	7	44	5	24	4	40	0	43	21	45	22	19	6	4	7	19	22	29	2	23	7	17	18
Gtr1_RagA	883	52	16	17	8	1	35	16	21	40	11	15	6	23	6	59	37	9	8	10	18	52	13	29	8	34	9	18	9	39	1	37	13	31	18	16	3	4	6	16	20	23	6	22	12	18	18
C2	873	46	12	11	2	6	30	15	20	68	2	15	15	30	4	46	53	2	1	1	24	92	6	30	8	39	1	15	1	32	13	60	13	36	13	13	9	0	2	12	11	11	16	11	1	14	11
Methyltransf_26	859	38	29	13	6	5	30	17	24	26	33	13	5	56	7	17	26	2	6	5	31	22	18	39	5	32	2	23	9	29	0	44	10	27	11	17	5	7	5	24	20	56	5	22	5	18	15
I-set	856	0	0	0	0	0	0	0	0	231	0	0	0	1	0	0	419	0	0	0	0	203	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kelch_4	854	111	10	4	0	2	6	14	11	63	50	10	11	41	1	67	33	0	0	0	8	29	5	25	3	78	0	13	0	51	1	46	5	34	6	8	3	0	9	15	25	23	9	12	0	5	7
EF_hand_6	843	50	9	5	0	6	17	19	9	65	6	5	4	54	1	21	60	3	2	1	20	77	20	45	4	26	0	12	0	25	3	88	13	26	5	7	7	2	15	10	29	40	12	5	0	9	6
AAA_17	839	30	22	20	4	4	21	25	24	25	24	17	3	35	12	29	25	11	8	10	26	33	15	23	7	25	10	23	8	31	8	28	20	26	23	24	12	4	4	16	15	34	2	16	14	20	23
TPR_16	837	48	19	14	1	9	28	20	22	27	23	12	8	71	1	21	36	1	2	0	35	44	18	45	5	28	0	22	2	18	3	52	13	27	10	9	12	7	16	19	17	15	9	16	1	15	16
ubiquitin	835	28	14	13	2	10	27	18	26	24	8	16	7	39	6	67	39	5	6	7	32	100	6	13	2	34	3	17	6	33	1	25	13	35	15	19	5	9	3	14	18	11	2	18	4	20	15
SNF2_N	830	30	28	20	5	4	35	24	31	17	14	23	3	36	5	26	21	5	8	9	26	29	20	27	5	26	7	30	9	23	1	25	19	31	18	21	6	6	7	30	24	27	4	19	8	16	22
PHD	828	13	20	13	3	5	20	15	22	39	13	19	10	53	5	18	50	1	3	2	23	118	4	22	4	33	1	18	3	32	1	37	12	35	15	22	7	5	0	19	11	26	3	20	5	11	17
Metallophos	818	43	27	17	4	5	19	17	27	26	13	16	5	28	2	30	33	5	6	6	22	18	9	30	6	32	5	25	4	32	3	61	11	35	21	20	3	4	4	21	19	27	7	18	7	15	30
Myb_DNA-binding	818	23	14	15	8	3	21	17	18	15	40	8	4	54	6	37	14	4	10	11	10	15	6	16	0	51	9	20	6	31	3	101	14	42	17	16	9	4	4	13	13	43	2	14	8	10	19
NAD_binding_10	799	29	60	5	1	4	26	10	35	22	21	19	3	46	7	36	17	2	3	1	68	15	8	29	5	35	0	28	1	25	1	37	9	24	14	16	6	6	1	33	2	30	3	14	0	22	20
HAD	795	19	28	14	2	5	38	27	18	13	14	14	4	29	10	26	18	6	4	4	36	28	20	18	7	45	5	23	4	39	0	43	20	44	19	17	6	3	6	18	18	22	2	20	7	14	18
HTH_Tnp_Tc3_2	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	228	0	0	0	0	2	0	0	17	0	10	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0
Methyltransf_25	788	37	25	11	4	3	24	12	22	26	23	10	3	42	6	28	18	1	4	5	28	21	16	26	9	35	4	30	6	45	0	28	8	44	12	21	7	5	5	27	10	42	6	16	5	14	14
zf-C2H2	786	2	17	17	1	1	8	9	19	106	0	6	0	0	8	3	142	1	1	2	30	73	2	5	12	38	0	12	2	71	8	30	15	60	14	7	1	1	7	17	1	0	0	7	1	16	13
Fungal_trans	783	0	158	16	0	2	2	10	45	0	0	68	0	0	4	0	0	0	0	0	70	0	8	0	8	24	0	76	0	24	0	0	0	40	27	27	1	6	0	69	0	0	0	40	0	35	23
Thioredoxin	770	27	17	10	2	4	29	15	12	39	14	12	5	49	6	32	39	3	4	4	22	47	10	33	2	32	6	15	3	19	4	26	13	21	13	15	6	5	6	14	31	49	9	13	4	16	13
Histone	764	19	12	12	5	2	12	9	18	11	13	11	5	127	6	20	97	4	8	8	18	27	6	15	5	24	4	13	7	27	2	10	21	25	12	17	2	14	4	11	10	28	6	11	9	23	14
ResIII	756	18	23	21	2	3	38	19	21	20	13	16	3	18	8	15	18	10	10	12	20	24	18	25	4	25	15	22	14	28	1	20	20	24	21	23	6	6	8	20	14	27	4	21	18	19	21
UQ_con	753	34	23	12	10	7	32	26	23	27	18	19	4	24	5	28	32	6	8	8	30	26	10	27	2	25	8	22	7	20	1	19	15	27	14	14	4	6	6	23	16	20	6	18	9	16	16
Abhydrolase_1	752	34	33	11	2	1	21	14	32	28	12	8	4	42	4	29	45	1	1	1	49	18	15	18	6	38	1	19	2	23	1	56	8	19	16	11	5	3	5	28	6	24	3	18	1	18	18
Acetyltransf_1	744	31	38	9	6	3	15	15	24	11	18	13	6	43	3	34	23	5	5	7	31	14	12	14	6	39	6	23	7	25	2	38	8	25	11	18	5	7	6	28	13	27	6	17	8	11	28
Kelch_3	741	95	11	6	0	1	2	11	11	48	22	10	13	37	1	52	33	0	0	0	9	34	7	18	1	63	0	16	0	45	1	43	4	33	8	9	3	0	10	17	23	17	6	10	0	4	7
TPR_2	735	35	14	8	1	5	30	12	11	24	20	9	4	39	2	26	32	0	1	2	19	93	11	45	3	19	0	19	3	24	4	35	16	30	12	12	9	2	14	14	18	21	4	11	1	9	12
AAA_21	731	12	14	16	6	6	35	23	16	24	18	12	8	20	4	35	30	13	13	15	18	26	15	20	3	29	17	13	6	14	22	70	16	13	15	13	6	6	2	11	8	21	3	12	11	10	11
AAA_16	729	25	27	17	1	5	21	13	36	13	32	15	7	27	5	17	18	1	7	7	21	25	14	29	2	25	5	17	5	22	2	28	14	21	13	14	6	4	4	23	25	63	6	11	7	10	19
EF_hand_4	725	37	12	7	0	4	17	15	15	47	3	11	4	48	2	26	55	1	0	0	13	67	16	25	6	23	1	15	1	19	1	52	14	27	6	10	6	3	10	11	29	26	11	11	0	9	9
rve	723	1	5	0	0	0	14	29	1	9	0	0	0	25	0	29	0	1	0	0	0	184	0	1	0	0	20	0	0	4	2	7	11	267	44	11	4	0	0	31	2	7	0	3	0	1	10
E1-E2_ATPase	722	17	23	12	2	4	38	25	16	15	11	13	2	26	5	24	15	7	5	5	36	31	19	15	7	38	7	18	4	35	0	40	17	40	16	14	6	2	5	15	19	18	1	18	10	12	14
RCC1_2	721	96	7	6	0	0	7	8	9	31	12	8	12	65	4	58	33	2	3	3	8	45	9	13	0	19	2	11	1	13	0	94	10	12	7	6	7	8	2	9	25	33	1	9	0	7	6
Kinesin	718	15	12	6	2	6	18	20	11	33	5	11	3	45	7	14	27	2	6	6	23	56	22	44	2	16	7	10	7	20	6	62	21	38	7	9	8	1	11	10	20	26	7	11	7	9	9
AAA_22	718	17	20	16	4	6	22	20	35	27	12	10	6	17	6	20	18	11	5	8	19	48	15	20	2	19	9	20	5	14	1	33	18	22	19	16	8	5	3	25	16	28	4	17	13	15	24
Kelch_1	710	53	3	3	0	0	2	4	4	193	1	6	5	26	2	56	57	0	0	0	2	104	2	33	1	21	0	9	0	11	0	26	3	17	4	5	1	0	1	12	16	18	0	5	0	1	3
NAD_binding_8	705	29	57	10	0	6	13	8	30	18	15	19	2	41	2	26	12	1	1	1	45	14	5	18	3	44	1	39	0	20	0	16	6	20	11	10	6	5	6	41	4	32	4	28	0	17	19
UCH	700	33	17	15	3	3	17	20	17	29	10	17	4	22	5	21	22	16	4	5	22	38	18	28	4	28	6	15	5	22	1	28	15	26	18	16	7	3	3	19	16	20	10	13	13	13	13
zf-rbx1	697	25	16	10	11	3	16	17	11	25	15	11	6	34	9	23	32	9	6	8	52	23	5	19	2	28	12	14	9	25	2	41	10	14	12	13	4	2	3	18	21	25	5	15	10	9	17
ADH_zinc_N	694	30	56	9	0	1	13	5	29	19	8	25	4	22	6	22	9	0	0	0	38	14	6	12	2	33	0	30	0	23	0	59	6	26	19	12	6	15	3	54	6	11	3	23	0	15	20
EGF	693	3	0	0	0	0	0	0	0	382	0	0	1	0	0	0	105	0	0	0	0	164	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0
fn3	687	6	1	1	0	1	0	0	0	267	0	0	6	9	0	0	176	0	0	0	1	151	0	18	0	0	0	1	0	0	0	33	0	0	0	0	0	0	7	1	0	5	2	0	0	0	1
Pyr_redox_2	682	19	40	10	1	4	21	11	32	29	14	19	4	31	10	22	14	2	3	2	34	14	9	24	4	20	2	28	3	26	1	20	15	31	16	11	3	3	5	32	12	30	2	23	3	10	13
SMC_N	679	7	15	12	3	3	32	13	13	20	10	10	7	22	4	20	21	14	12	13	24	21	11	20	8	34	15	14	10	20	8	45	18	14	15	14	5	7	3	20	10	22	3	15	15	16	21
Ion_trans	677	4	5	4	0	0	13	2	5	59	1	6	0	69	1	6	56	0	0	0	20	197	5	26	1	20	0	6	0	15	2	70	6	10	4	4	1	0	12	3	8	24	2	5	0	1	4
KH_1	672	7	17	14	3	1	15	18	17	39	3	15	13	21	7	5	53	12	4	5	26	51	15	32	3	27	1	20	2	20	1	17	3	24	14	12	0	8	18	19	14	23	4	16	3	17	13
Apc3	670	15	5	6	1	1	12	12	7	16	5	6	2	9	0	8	12	1	2	3	7	397	4	17	1	8	0	5	1	10	3	18	8	15	3	5	3	2	6	5	5	4	3	4	2	4	7
DAO	669	31	54	9	0	4	17	9	27	27	15	26	1	40	4	20	18	1	3	3	32	14	7	24	2	15	1	29	1	18	1	19	10	25	10	12	7	4	5	39	5	29	2	21	1	15	12
Arm	658	24	14	13	3	8	29	16	11	32	7	14	8	18	5	26	34	1	1	1	16	29	12	26	5	22	2	15	2	34	2	41	10	32	16	24	11	8	1	13	12	16	0	15	2	14	13
Exo_endo_phos	654	26	25	8	1	4	11	7	12	31	9	9	9	28	3	20	12	8	3	3	22	37	4	19	5	18	3	13	1	63	5	33	13	70	11	7	5	0	0	26	12	15	9	13	2	11	8
Cadherin	647	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	177	0	0	0	0	157	0	165	0	0	0	0	0	0	0	33	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
FAD_binding_3	646	11	51	4	0	1	12	5	30	3	6	15	1	32	0	12	3	0	0	0	43	4	5	4	1	240	0	28	0	8	0	10	4	15	4	2	2	6	0	36	6	17	2	14	0	6	3
Proteasome	638	13	17	14	7	4	30	16	14	17	16	14	2	16	3	16	26	30	14	14	16	17	12	15	3	15	14	17	15	14	3	15	15	28	14	14	3	6	4	16	15	25	3	14	14	14	14
LIM	635	64	8	7	0	7	39	19	9	44	3	7	12	1	2	53	82	0	0	0	14	67	11	21	4	23	0	9	0	34	2	5	1	25	7	7	7	1	1	5	0	0	13	10	0	4	7
PPR_2	622	62	5	4	0	0	11	26	8	1	19	8	0	42	5	12	5	0	0	0	13	1	21	3	6	57	0	10	0	66	0	17	7	62	2	4	42	2	2	9	12	46	0	14	0	11	7
Aminotran_1_2	620	22	31	13	4	2	24	15	24	22	18	21	7	21	6	14	12	0	2	2	22	21	13	19	3	26	2	17	2	24	6	25	8	29	15	16	0	5	1	21	7	25	2	15	2	14	20
Rad60-SLD	617	11	11	12	1	5	23	11	18	17	6	12	7	31	4	55	27	4	3	5	21	85	4	8	0	25	3	12	6	23	0	10	7	28	13	15	3	8	2	12	9	10	1	15	4	17	13
EF_hand_3	617	44	9	8	0	7	18	9	7	40	6	8	5	49	0	21	32	1	0	0	16	53	9	24	4	22	1	17	0	20	1	39	16	24	4	5	5	3	8	12	28	21	4	5	0	4	8
Myb_DNA-bind_6	617	19	12	10	9	0	10	17	14	13	20	6	5	33	4	27	12	2	7	8	7	14	3	16	0	45	7	13	7	26	0	49	13	48	12	12	7	4	3	12	8	37	0	14	6	9	17
BTB	617	57	8	1	0	0	2	4	28	88	2	5	4	49	0	23	66	0	0	0	21	45	6	6	1	33	0	13	0	33	2	13	0	18	2	5	5	1	0	23	7	14	5	4	0	1	22
VCBS	615	10	6	0	0	0	2	0	6	17	2	2	1	0	0	12	5	0	0	0	0	10	2	474	1	3	0	0	0	3	0	0	1	5	0	0	0	0	0	0	2	3	44	1	0	3	0
ABC2_membrane	613	37	29	9	2	4	19	8	11	8	8	17	4	36	5	40	18	1	2	2	26	12	12	12	6	22	1	11	1	19	0	105	6	18	19	4	1	2	1	18	6	12	2	12	3	10	12
Ig_2	610	0	0	0	0	0	0	0	0	142	0	0	0	1	0	0	299	0	0	0	0	166	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCH_1	607	26	16	15	1	2	21	18	16	27	13	16	4	15	4	17	23	1	3	4	23	27	8	26	4	29	3	16	2	21	1	27	14	24	16	17	6	3	2	15	10	15	9	12	5	14	16
ADH_N	604	21	47	7	0	2	15	5	24	20	7	23	4	16	5	49	6	0	0	0	29	11	4	9	0	16	0	28	0	16	0	59	6	22	16	9	4	9	3	40	6	14	3	22	0	12	15
SET	602	31	15	9	2	2	13	12	23	21	6	11	7	48	1	28	23	3	1	1	16	33	16	20	2	25	1	20	0	16	3	24	13	22	7	12	3	2	2	19	13	41	0	11	3	9	12
CBS	602	93	11	8	1	0	23	14	10	14	11	8	4	16	2	39	9	0	0	0	19	11	12	24	8	37	0	11	0	28	2	32	14	36	11	9	3	0	11	10	3	28	1	7	0	11	11
Kelch_6	601	68	1	3	0	1	2	3	6	131	4	7	4	25	0	49	40	0	0	0	2	72	1	16	1	35	0	9	0	22	0	25	2	16	4	6	0	0	3	10	11	12	1	4	0	2	3
